Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
CO2 emissions (kt),EN.ATM.CO2E.KT,Australia,AUS,263630,370089.996337891,375489.990234375,385750,388940.002441406,395290.008544922,387540.008544922,386380.004882813,386970.001220703,380279.998779297,371630.004882813,377799.987792969,384989.990234375,389160.003662109,387070.007324219,386529.998779297,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,58270,76239.9978637695,74099.9984741211,71239.9978637695,70730.0033569336,64419.9981689453,69959.9990844727,68269.9966430664,65110.0006103516,65750,62049.9992370605,63240.0016784668,63680.0003051758,65860.0006103516,63060.001373291,64769.9966430664,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Azerbaijan,AZE,53480,30040.0009155273,30489.9997711182,27629.9991607666,30450.0007629395,25500,24309.9994659424,27280.0006866455,30110.0006103516,30940.0005340576,32240.0016784668,31770.0004577637,32240.0016784668,31959.9990844727,32729.9995422363,35509.9983215332,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Bahamas, The",BHS,1960,2109.99989509583,2099.99990463257,2119.99988555908,2200.00004768372,6170.00007629395,2079.99992370605,2569.9999332428,3549.99995231628,2809.99994277954,2519.99998092651,2210.00003814697,2039.99996185303,2170.00007629395,2799.99995231628,2839.99991416931,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,10740,20690.0005340576,22489.9997711182,23000,24760.0002288818,24719.9993133545,25969.9993133545,26020.0004577637,27170.0000762939,28850.0003814697,30280.0006866455,30579.9999237061,30299.9992370605,30520.0004577637,30809.9994659424,33259.9983215332,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,11520,32709.9990844727,35900.0015258789,37990.0016784668,41580.0018310547,44750,50580.0018310547,54419.9981689453,57990.0016784668,60599.9984741211,63830.0018310547,72190.0024414063,74379.997253418,79339.9963378906,83449.9969482422,90739.9978637695,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,980,1419.99995708466,1470.00002861023,1480.00001907349,1779.99997138977,4619.99988555908,1549.99995231628,1759.99999046326,2119.99988555908,1440.00005722046,1269.99998092651,1269.99998092651,1289.99996185303,1179.99994754791,1240.00000953674,1250,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,99830,56779.9987792969,59119.9989318848,57650.0015258789,60529.9987792969,57400.0015258789,61669.9981689453,58549.9992370605,59939.998626709,59990.0016784668,59500,54819.9996948242,55139.9993896484,56009.9983215332,58950.0007629395,57669.9981689453,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,109310,110610.000610352,108650.001525879,104589.996337891,106930.000305176,99669.9981689453,106720.001220703,96480.0033569336,95269.9966430664,96589.9963378906,90139.9993896484,95129.997253418,94220.0012207031,92720.0012207031,93660.0036621094,93010.0021362305,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,330,469.999998807907,509.999990463257,529.999971389771,500,1460.00003814697,560.000002384186,670.000016689301,670.000016689301,460.00000834465,479.999989271164,680.000007152557,649.999976158142,639.999985694885,629.999995231628,639.999985694885,..,..
