Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Mozambique,MOZ,4951390234.76285
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Myanmar,MMR,18415277429.9246
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Namibia,NAM,3907060129.18931
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Nauru,NRU,54481677.7371446
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Nepal,NPL,1890368794.1327
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Netherlands,NLD,840459995302.312
Exports of goods and services (current US$),NE.EXP.GNFS.CD,New Caledonia,NCL,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,New Zealand,NZL,56314188711.2746
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Nicaragua,NIC,6563617753.26263
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Niger,NER,1533845340.93423
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Nigeria,NGA,47338716492.0487
Exports of goods and services (current US$),NE.EXP.GNFS.CD,North Macedonia,MKD,9154224180.71247
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Northern Mariana Islands,MNP,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Norway,NOR,200451455180.442
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Oman,OMN,46324248894.6684
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Pakistan,PAK,31546334430.5352
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Palau,PLW,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Panama,PAN,32479296000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Papua New Guinea,PNG,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Paraguay,PRY,14210767078.4022
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Peru,PER,64932484667.3195
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Philippines,PHL,101446840164.864
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Poland,POL,393471089360.16
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Portugal,PRT,105509019988.084
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Puerto Rico,PRI,57921400000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Qatar,QAT,105855219780.22
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Romania,ROU,116047231035.477
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Russian Federation,RUS,548860012246.4
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Rwanda,RWA,2110469007.04898
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Samoa,WSM,98617344.0852686
Exports of goods and services (current US$),NE.EXP.GNFS.CD,San Marino,SMR,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Sao Tome and Principe,STP,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Saudi Arabia,SAU,289815259051.184
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Senegal,SEN,6164686202.58536
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Serbia,SRB,34369191284.55
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Seychelles,SYC,1051705333.76673
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Sierra Leone,SLE,684275812.61922
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Singapore,SGP,733772683289.914
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Sint Maarten (Dutch part),SXM,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Slovak Republic,SVK,109303983019.064
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Slovenia,SVN,51640294109.3092
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Solomon Islands,SLB,413778271.752531
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Somalia,SOM,1532000002.30199
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Africa,ZAF,130706766704.509
Exports of goods and services (current US$),NE.EXP.GNFS.CD,South Sudan,SSD,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Spain,ESP,498633852806.194
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Sri Lanka,LKA,14985234582.1601
Exports of goods and services (current US$),NE.EXP.GNFS.CD,St. Kitts and Nevis,KNA,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,St. Lucia,LCA,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,St. Martin (French part),MAF,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,St. Vincent and the Grenadines,VCT,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Sudan,SDN,772804661.025641
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Suriname,SUR,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Sweden,SWE,289188445925.763
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Switzerland,CHE,571427242924.819
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Syrian Arab Republic,SYR,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Tajikistan,TJK,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Tanzania,TZA,9722217412.43074
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Thailand,THA,294505505502.375
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Timor-Leste,TLS,2313517061.68549
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Togo,TGO,1961685800.26318
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Tonga,TON,58760261.6444971
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Trinidad and Tobago,TTO,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Tunisia,TUN,19667060297.012
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Turkiye,TUR,289144107136.401
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Turkmenistan,TKM,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Turks and Caicos Islands,TCA,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Tuvalu,TUV,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Uganda,UGA,6396009317.21753
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ukraine,UKR,81532203091.6727
Exports of goods and services (current US$),NE.EXP.GNFS.CD,United Arab Emirates,ARE,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,United Kingdom,GBR,875196919682.023
Exports of goods and services (current US$),NE.EXP.GNFS.CD,United States,USA,2539648000000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Uruguay,URY,18675019828.6234
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Uzbekistan,UZB,16436730538.4426
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Vanuatu,VUT,94287476.3025057
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Venezuela, RB",VEN,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Vietnam,VNM,341575805638.176
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Virgin Islands (U.S.),VIR,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,West Bank and Gaza,PSE,3180200000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Yemen, Rep.",YEM,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Zambia,ZMB,11534130928.8908
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Zimbabwe,ZWE,7209542056.07477
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/30/2023,,,,
